epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,218.236,1.80517,3.8456,1.79815,0.26576,0.44514,0.29509,0.15861,1.61911,6.16226,1.83542,0.00013336,0.00013336,0.00013336
2,419.361,1.58719,2.87285,1.59081,0.3166,0.18182,0.25766,0.10878,1.82638,6.17824,1.92977,0.000277779,0.000277779,0.000277779
3,604.16,1.54163,2.41865,1.46939,0.22972,0.33699,0.35653,0.17267,1.47011,11.4992,1.57111,0.000416257,0.000416257,0.000416257
4,794.603,1.54911,2.36005,1.49537,0.17302,0.279,0.19669,0.06418,1.65454,6.84931,1.71714,0.000548793,0.000548793,0.000548793
5,984.83,1.6853,2.35167,1.59139,0.10644,0.15987,0.06702,0.02243,1.9319,5.46147,2.30169,0.000675388,0.000675388,0.000675388
6,1179.48,1.62066,2.31164,1.60389,0.03183,0.3558,0.03205,0.01126,2.50368,6.07393,3.17559,0.000796043,0.000796043,0.000796043
7,1363.99,1.59195,2.23436,1.63646,0.012,0.31034,0.0129,0.00418,2.77591,16.7048,3.43948,0.000910755,0.000910755,0.000910755
8,1551.63,1.70887,2.30555,1.69492,0.16249,0.10815,0.13922,0.07804,2.23576,14.1682,2.46631,0.00101953,0.00101953,0.00101953
9,1745.27,1.75547,2.14017,1.64113,0.09304,0.34953,0.07438,0.02882,2.26879,29.9427,2.65851,0.00112236,0.00112236,0.00112236
10,1932.44,1.62803,2.16544,1.63891,0.12842,0.15517,0.09557,0.02762,2.03048,12.269,2.41568,0.00121925,0.00121925,0.00121925
11,2124.6,1.71873,2.12758,1.74781,0.11676,0.23174,0.11424,0.06371,2.08728,13.2525,2.59634,0.0013102,0.0013102,0.0013102
12,2317.33,1.70625,2.08683,1.68266,0.04951,0.45768,0.08975,0.02638,2.57143,144.712,3.45329,0.00130393,0.00130393,0.00130393
13,2506.4,1.7361,2.09468,1.70675,0.06457,0.33699,0.03883,0.01284,2.95793,114.876,4.39364,0.00127092,0.00127092,0.00127092
